EVTDESC_TOG_3110;Your son, [From.GetTitledFirstName], has decided to enlist with the Varangian Guard in Constantinople and seek his fortune there! Although he will no doubt gain both riches and valuable battle experience in service of the Greek king, there will be many perils that could well cost him his life.;Votre fils, [From.GetTitledFirstName], a décidé de s'enrôler dans la Garde varègue à Constantinople et d'y chercher fortune ! Même si le fait d'être au service du roi grec va sans doute l'enrichir d'une importante expérience de combat, de nombreux dangers pourront lui coûter la vie.;Euer Sohn, [From.GetTitledFirstName], hat beschlossen, sich der Warägergarde in Konstantinopel anzuschließen und dort sein Glück zu suchen. Obschon er zweifellos sowohl Reichtum als auch wertvolle Kampferfahrung im Dienst des Griechenkönigs finden wird, gibt es viele Gefahren, die ihn sein Leben kosten könnten.;;¡Tu hijo, [From.GetTitledFirstName], ha decidido alistarse con la Guardia Varangian en Constantinopla y buscar fortuna allí! Aunque, sin duda, obtendrá riquezas y valiosa experiencia en batalla al servicio del rey Griego, habrá muchos peligros que bien podrían costarle la vida.;;;;;;;;;x
EVTOPTB_TOG_3110;Go to Constantinople and make me proud, son.;Fils, va à Constantinople et fais-moi honneur.;Gehe nach Konstantinopel und mache mich stolz, mein Sohn.;;Vete a Constantinopla y hazme sentirme orgulloso, hijo.;;;;;;;;;x
EVTDESC_TOG_3112;A grizzled old warrior having just returned from Greece arrived with a message from [From.GetTitledFirstName] today. Though he has left the Varangian Guard, your son has apparently found himself a Greek wife and decided to remain in Constantinople and build a new life there. It is doubtful whether you will ever see him again...;Un vieux guerrier grisonnant est revenu aujourd'hui de Grèce portant un message pour [From.GetTitledFirstName]. Bien qu'il ait quitté la Garde varègue, votre fils s'est apparemment trouvé une épouse grecque et a décidé de rester à Constantinople pour y refaire sa vie. Vous ne le reverrez probablement plus jamais...;Ein grauhaariger alter Krieger ist gerade aus Griechenland mit Nachricht von [From.GetTitledFirstName] heimgekehrt. Auch wenn er die Warägergarde verlassen hat, hat Euer Sohn wohl eine griechische Braut gefunden und beschlossen, in Konstantinopel zu bleiben und ein neues Leben zu beginnen. Es ist zweifelhaft, ob Ihr ihn jemals wiedersehen werdet...;;Un guerrero canoso recién llegado de Grecia llega hoy con un mensaje de [From.GetTitledFirstName]. Aunque ha dejado la Guardia Varangiana, tu hijo parece haber encontrado una esposa Griega y decidido permanecer en Constantinopla y crear una nueva vida allí. Es dudoso que alguna vez lo vuelvas a ver...;;;;;;;;;x
EVTDESC_TOG_3113;After finishing his service with the Varangian Guard, [From.GetTitledFirstName] has married a local woman and decided to remain in Constantinople instead of returning home to the barbaric frozen wasteland he once came from. He has pledged his continued service to you.;Après avoir terminé son service dans la Garde varègue, [From.GetTitledFirstName] s'est marié à une femme du pays et a décidé de rester à Constantinople au lieu de retourner en terre natale, ce désert gelé et barbare. Il s'est engagé à toujours vous servir.;Nachdem er seinen Dienst in der Warägergarde beendet hatte, heiratete [From.GetTitledFirstName] eine hiesige Braut und beschloss, in Konstantinopel zu bleiben statt in die gefrorene Ödniss seiner Heimat zurückzukehren. Er hat sich Euch zu weiterem Dienst verpflichtet.;;Después de terminar su servicio con la Guardia Varangiana, [From.GetTitledFirstName] se ha casado con una mujer del lugar y decide permanecer en Constantinopla en vez de regresar a casa a la bárbara tierra congelada de donde vino. Él ha prometido su continuo servicio a ti.;;;;;;;;;x
EVTDESC_TOG_3115;A heavily scarred warrior clad in strange armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from Greece!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu de Grèce !;Ein vernarbter Krieger in seltsamer Rüstung erscheint vor Eurem Thron und bevor er entwaffnet werden kann, entreißt der Fremde Eurer Wache den Speer und wirft ihn beiseite. Andere Wachen eilen heran, doch Ihr hebt die Hand um sie aufzuhalten. Der Fremde ist [From.GetTitledFirstName] und endlich aus Griechenland heimgekehrt!;;Un guerrero con grandes cicatrices y vestido con una extraña armadura se acerca a tu trono, y antes de que pueda ser desarmado, el desconocido se quita de encima a la guardia con un movimiento rápido y fluido de su lanza, y la arroja a un lado. Otros guardias se apresuran hacia él, pero levantas la mano para detenerlos. ¡El desconocido es [From.GetTitledFirstName], por fin ha regresado de Grecia!;;;;;;;;;x
EVTDESC_TOG_3117;Your son, [From.GetTitledFirstName], has finally returned home from Greece and his service with the Varangian Guard! Although you can't quite put your finger on it, he seems different somehow... and what is this Greek love he speaks of?;Votre fils, [From.GetTitledFirstName], est finalement revenu de Grèce et de son service dans la Garde varègue ! Bien que vous ne pouvez encore dire pourquoi, il semble quelque peu différent... Serait-ce cet 'amour grec' dont il parle ?;Euer Sohn, [From.GetTitledFirstName], ist endlich aus Griechenland und dem Dienst in der Warägergarde zurückgekehrt. Obschon Ihr es nicht genau benennen könnt, wirkt er irgendwie verändert... Und was genau hat es mit dieser 'griechischen Liebe' auf sich, von der er spricht?;;¡Tu hijo, [From.GetTitledFirstName], por fin ha vuelto a casa de Grecia y de su servicio con la Guardia Varangiana! Aunque no sabes por qué, parece diferente de alguna manera... y ¿qué es este amor griego del que habla?;;;;;;;;;x
EVTDESC_TOG_3119;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a ship coming from Constantinople. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de Constantinople. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;Ein gebrechlicher, berobter Man wird in Euren Thronsaal geführt und Eure Wachen erklären, dass er gerade mit dem Schiff von Konstantinopel eingetroffen ist. Der Mann sprach nur wieder und wieder Euren Namen, daher wurde er zu Euch gebracht. Voller Erschrecken erkennt Ihr ihn schließlich als [From.GetTitledFirstName]!;;Un hombre frágil vestido con túnica es conducido a tu sala del trono, y tus guardias explican que acaba de llegar en un barco procedente de Constantinopla. El hombre sólo dice tu nombre una y otra vez, y por eso lo han llevado a ti. Para tu horror, ¡lo reconoces por fin como [From.GetTitledFirstName]!;;;;;;;;;x
EVTDESC_TOG_3121;[From.GetTitledFirstName] has finally returned home after a long and successful career in the Varangian Guard! He fought in several battles, and learned much from the clever strategies and tactics favored by both the Greeks and their enemies in the Levant.;[From.GetTitledFirstName] est finalement de retour au bercail après une fructueuse et longue carrière dans la Garde varègue ! Il a pris part à plusieurs batailles et a beaucoup appris sur les adroites stratégies et les tactiques utilisées par les Grecs et leurs ennemis au Levant.  ;[From.GetTitledFirstName] ist nach langer und erfolgreicher Karriere in der Warägergarde endlich heimgekehrt! Er hat in vielen Schlachten gefochten und vieles von den schlauen Strategien und Taktiken der Griechen und ihrer Feinde in der Levant erfahren.;;¡[From.GetTitledFirstName] por fin ha vuelto a casa después de una larga y exitosa carrera en la Guardia Varangiana! Luchó en varias batallas, y aprendió mucho de las inteligentes estrategias y las tácticas preferidas tanto por los griegos como por sus enemigos en la Levante.;;;;;;;;;x
EVTDESC_TOG_3123;[From.GetTitledFirstName] has returned from Greece and the Varangian Guard, but he refuses to speak of his experiences there. You know he took part in several battles and killed many foes, but instead of reveling in the glory of his accomplishments, [From.GetFirstName] is plagued by nightmares and jumps at sudden sounds.;[From.GetTitledFirstName] est de retour de Grèce et de la Garde varègue, mais refuse de parler de son expérience là-bas. Vous savez qu'il a pris part à plusieurs batailles et qu'il a eu raison de nombreux ennemis, mais au lieu de raconter ses glorieux exploits, [From.GetFirstName] fait des cauchemars toutes les nuits et sursaute au moindre bruit.;[From.GetTitledFirstName] ist aus Griechenland und der Warägergarde zurückgekehrt, aber er weigert sich, von seinen Erlebnissen zu sprechen. Ihr wisst, dass er an etlichen Schlachten teilgenommen und viele Feinde erschlagen hat, doch statt seine glorreichen Erfolge zu feiern, wird [From.GetFirstName] von Alpträumen geplagt und erschreckt bei plötzlichen Geräuschen.;;[From.GetTitledFirstName] ha regresado de Grecia y de la Guardia Varangiana, pero se niega a hablar de sus experiencias allí. Tú sabes que participó en varias batallas y mató a muchos enemigos, pero en vez de deleitarse en la gloria de sus logros, [From.GetFirstName] está plagado de pesadillas y salta con los ruidos repentinos.;;;;;;;;;x
EVTDESC_TOG_3125;[From.GetTitledFirstName] has come home from Constantinople and his service with the Varangian Guard, but he is not alone. He has found a Greek wife and brought her with him. She is not familiar with our customs or language, and the climate does not seem to agree with her, but she seems willing to make the best of her new home.;[From.GetTitledFirstName] est de retour de Constantinople et de son service dans la Garde varègue, mais il ne revient pas seul. Il s'est marié à une Grecque et l'a ramenée avec elle. Elle n'est pas habituée à nos coutumes et à notre langue, et ne semble pas apprécier notre climat, mais elle semble vouloir faire d'ici son chez soi.;[From.GetTitledFirstName] ist aus Konstantinopel und seinem Dienst in der Warägergarde heimgekehrt. Er hat eine griechische Braut gefunden und mitgebracht. Sie kennt unsere Gebräuche und Sprache nicht und das Wetter hier scheint ihr nicht gut zu tun, doch sie ist willig, das Beste aus ihrem neuen Heim zu machen.;;[From.GetTitledFirstName] ha llegado a casa de Constantinopla y de su servicio con la Guardia Varangiana, pero no está solo. Ha encontrado una esposa griega y la trajo con él. Ella no conoce nuestras costumbres ni el idioma, y el clima no le gusta demasiado, pero parece estar dispuesta a hacer lo mejor de su nuevo hogar.;;;;;;;;;x
EVTDESC_TOG_3127;After many years in Greece, [From.GetTitledFirstName] has finally been released from his service to the Varangian Guard and returned home. Your son is a changed man, however. The old gods no longer hold any interest for him, and he instead speaks incessantly of Christendom and the horrors that await those who refuse to convert...;Après plusieurs années en Grèce, [From.GetTitledFirstName] a enfin été dégagé de ses fonctions dans la Garde varègue et est rentré au bercail. Votre fils est cependant un homme changé. Les Anciens Dieux ne l'intéressent plus et il parle sans cesse du royaume des chrétiens et des horreurs qui s'abattront sur ceux qui refusent de se convertir...;Nach vielen Jahren in Griechenland, wurde [From.GetTitledFirstName] endlich aus seinem Dienst in der Warägergarde entlassen und ist heimgekehrt. Doch Euer Sohn ist ein gewandelter Mann. Die alten Götter interessieren ihn nicht länger, stattdessen spricht er ununterbrochen vom Christentum und den Schrecken, die jene erwarten, die nicht konvertieren...;;Tras muchos años en Grecia, [From.GetTitledFirstName] ha sido finalmente liberado de su servicio a la Guardia Varangiana y ha regresado a casa. Sin embargo, tu hijo ha cambiado. Los viejos dioses ya no le interesan, y en cambio habla sin cesar de la Cristiandad y los horrores que le esperan a aquellos que se niegan a convertirse...;;;;;;;;;x
EVTDESC_TOG_3129;[From.GetTitledFirstName] has returned from Constantinople and the Varangian Guard as a changed man. He is wiser, more confident in his own abilities and more knowledgable in matters of war. It seems the time spent in Greece did him good.;[From.GetTitledFirstName]est de retour de Constantinople et de la Garde varègue et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;[From.GetTitledFirstName] ist als gewandelter Mann aus Konstantinopel und dem Dienst in der Warägergarde zurückgekehrt. Er ist weiser, zuversichtlicher und besitzt neue Kenntnisse in Kriegsangelegenheiten. Es scheint, als habe ihm die Zeit bei den Griechen gut getan. ;;[From.GetTitledFirstName] ha vuelto de Constantinopla y de la Guardia Varangiana como un hombre cambiado. Es más sabio, más seguro de sus propias habilidades y más eficiente en asuntos de guerra. Parece que el tiempo pasado en Grecia le ha hecho bien.;;;;;;;;;x
EVTDESC_TOG_3131;Several former Varangian Guardsmen have recently returned home after serving the Greek king, and they bring news most grave. Your son, [From.GetTitledFirstName], fell in battle while campaigning in the Levant. They assure you that he faced his enemy with bravery and slew many before their numbers overwhelmed him.;Plusieurs anciens gardes varègues sont de retour de leur service pour le roi des Grecs depuis peu et ils apportent de mauvaises nouvelles. Votre fils, [From.GetTitledFirstName], est tombé au combat lors de la campagne du Levant. Ils vous assurent qu'il a affronté l'ennemi avec bravoure et qu'il en a tué plusieurs avant qu'ils aient eu raison de lui.;Einige frühere Waräger Gardisten sind von ihrem Dienst beim Griechenkönig heimgekehrt und bringen schlechteste Neuigkeiten mit. Euer Sohn [From.GetTitledFirstName] ist in einer Schlacht in der Levant gefallen. Sie versichern Euch, dass er seinem Feind mit Tapferkeit begegnet ist und viele erschlug, bevor ihre schiere Zahl ihn überwältigte. ;;Varios ex guardias Varangianos han regresado recientemente a casa después de servir al rey Griego, y traen noticias graves. Tu hijo, [From.GetTitledFirstName], cayó en la batalla mientras estaba de campaña en la Levante. Te aseguran que se enfrentó a su enemigo con valentía y que mató a muchos antes de que sus números lo abrumaron.;;;;;;;;;x
EVTDESC_TOG_3133;[From.GetTitledFirstName] has at last returned from Greece on a longship filled with the spoils of war! Apparently the great king of the Greeks is generous to those who serve him well, and there is gold here from all over the Greek realm, the Levant and beyond. Your son insists on sharing these riches with you, his loving father.;[From.GetTitledFirstName] est enfin de retour de Grèce, à bord d'un drakkar contenant un impressionnant butin de guerre ! Le grand roi des Grecs est apparemment très généreux avec ceux qui le servent bien, et il y a de l'or de tous les coins de la Grèce, du Levant et de plus loin encore. Votre fils insiste pour partager ses richesses avec vous, son père bien-aimé.;[From.GetTitledFirstName] ist endlich aus Griechenland heimgekehrt, auf einem großen Beiboot, gefüllt mit Kriegsbeute. Offenbar ist der Griechenkönig großzügig gegenüber jenen, die ihm gut dienen. Hier findet sich Gold aus allen Ecken Griechenlands, Levants und darüber hinaus. Euer Sohn besteht darauf, den Reichtum mit Euch, seinem Vater, zu teilen. ;;[From.GetTitledFirstName] por fin ha regresado de Grecia en un drakkar lleno de botines de guerra! Al parecer, el gran rey de los Griegos es generoso con los que le sirven bien, y hay oro aquí de todas partes del reino griego, la Levante y más allá. Tu hijo insiste en compartir estas riquezas contigo, su querido padre.;;;;;;;;;x
EVTDESC_TOG_3134;Upon learning of the death of your father, you left the Varangian Guard and departed Constantinople for home on a longship filled with loot from your campaigns in the Levant. It was a long and perilous journey back, but your feet are now firmly planted on the soil of the land that is your birthright. The throne is yours.;Après avoir appris la mort de votre père, vous avez abandonné la Garde varègue et quittez Constantinople sur un drakkar pour rentrer au bercail, rapportant un important butin amassé lors de vos campagnes en la Levant. Le voyage du retour fut long et périlleux, mais vos pieds foulent maintenant la terre ferme, cette terre dont vous êtes l'héritier. Le trône est à vous.;Als Ihr vom Tod Eures Vaters erfahrt, verlasst Ihr die Warägergarde und Konstantinopel in einem großen Beiboot, gefüllt mit der Beute Eurer Schlachten in der Levant. Es war eine lange und gefahrvolle Reise, doch jetzt setzt Ihr Eure Füße auf heimatliche Erde, dir Euer Geburtsrecht ist. Der Thron gehört Euch. ;;Al enterarte de la muerte de tu padre, dejas la Guardia Varangiana y dejas Constantinopla para volver a casa en un drakkar lleno de botines de tus campañas en la Levante. Fue un largo y peligroso viaje de regreso, pero tus pies están ahora firmemente plantados en la tierra que es tu patrimonio. El trono es tuyo.;;;;;;;;;x
EVTTOOLTIPCpdm.8;Summon the theologians of your infidel neighbours and choose to convert to one of their religions to appease the monotheists.;Invoquer les théologiens de vos voisins infidèles et choisir de convertir l'une de leurs religions pour apaiser les monothéistes.;Beschwören die Theologen des ungläubigen Nachbarn und entscheiden, zu einem ihrer Religionen konvertieren, um die Monotheisten zu beschwichtigen.;;Convocar a los teólogos de sus vecinos infieles y eligir a participar en una de sus religiones para apaciguar a los monoteístas.;;;;;;;;;x
e_byzantium;East Roman Empire;Empire Romain d'Orient;Oströmischen Reiches;;Imperio Romano de Oriente;;;;;;;;;x
e_byzantium_adj;East Roman;Romain d'Orient;Oströmischen;;Romano de Oriente;;;;;;;;;x
d_nestorian;The Patriarchate of the East;Le Patriarcat d'Orient;Das Patriarchat des Ostens;;El Patriarcado Oriental;;;;;;;;;x
d_monothelite;The Monothelite Patriarchate;Le Patriarcat Monothélite;Das monotheletismische Patriarchat;;El Patriarcado Monotelita;;;;;;;;;x
k_orthodox;The Ecumenical Patriarchate;Le Patriarcat œcuménique;Das Ökumenische Patriarchat;;El Patriarcado Ecuménico;;;;;;;;;x
d_italias;Italias;Italias;Italias;;Italias;;;;;;;;;x
d_italias_adj;Italian;Italienne;Italienischer;;Italiana;;;;;;;;;x
d_janissary;Janissary Corps;Corps des Janissaires;Janitscharen-Korps;;Cuerpo de Jenízaros;;;;;;;;;x
d_janissary_adj;Janissary;Janissaire;Janitscharen;;Jenízaro;;;;;;;;;x
duke_romanian;Voievod;Voïvode;Woiwode;;Voivoda;;;;;;;;;x
PROV596;Lemnos;Lemnos;Lemnos;;Lemnos;;;;;;;;;x
c_lemnos_adj;Lemnian;Lemnien;Lemnisch;;Lemnieno;;;;;;;;;x
PROV542;Imbros;Imbros;Imbros;;Imbros;;;;;;;;;x
c_imbros_adj;Imbrian;Imbrien;Imbrisch;;Imbrieno;;;;;;;;;x
b_agiossotiras;Agios Sotiras;Agios Sotiras;Agios Sotiras;;Agios Sotiras;;;;;;;;;x
b_lemnoskastron;Kastron;Kastron;Kastron;;Kastron;;;;;;;;;x
b_imbroskastron;Kastron;Kastron;Kastron;;Kastron;;;;;;;;;x
b_samothrace;Samothrace;Samothrace;Samothrake;;Samotracia;;;;;;;;;x
b_panaghia;Panaghia;Panaghia;Panaghia;;Panaghia;;;;;;;;;x
b_agiostheodoros;Agios Theodoros;Agios Theodoros;Agios Theodoros;;Agios Theodoros;;;;;;;;;x
b_agridia;Agridia;Agridia;Agridia;;Agridia;;;;;;;;;x
b_vonitsza;Vonitsa;Vonitsa;Vonitsa;;Vonitsa;;;;;;;;;x
b_boudonitza;Boudonitsa;Boudonitsa;Boudonitsa;;Boudonitsa;;;;;;;;;x
b_chalandritza;Chalandritsa;Chalandritsa;Chalandritsa;;Chalandritsa;;;;;;;;;x
b_karditza;Karditsa;Karditsa;Karditsa;;Karditsa;;;;;;;;;x
b_vostitza;Vostitsa;Vostitsa;Vostitsa;;Vostitsa;;;;;;;;;x
d_nikaea;Nicaea;Nicée;Nicäa;;Nicea;;;;;;;;;x
c_nikaea_adj;Nicene;Nicéenne;Nicänische;;Niceno;;;;;;;;;x
b_nikaea;Nicaea;Nicée;Nicäa;;Nicea;;;;;;;;;x
d_theodoro;Theodoro;Theodoro;Theodoro;;Theodoro;;;;;;;;;x
d_theodoro_adj;Theodorite;Théodorite;Theodorisch;;Teodorito;;;;;;;;;x
k_epirus;Epeiros;Epeiros;Epeiros;;Epeiros;;;;;;;;;x
k_epirus_adj;Epeirote;Epeirote;Epeirote;;Epeirote;;;;;;;;;x
k_morea;Morea;Morée;Morea;;Morée;;;;;;;;;x
k_morea_adj;Morean;Moréen;Moreanische;Moréno;;;;;;;;;x
e_trebizond;Trebizond;Trébizonde;Trebizond;;Trebisonda;;;;;;;;;x
e_trebizond_adj;Trebizondian;Trébizondienne;Trebizonder;;Tresbisondesa;;;;;;;;;x
e_ottoman;Ottoman Empire;Empire Ottomane;Osmanische Reich;;Imperio Otomano;;;;;;;;;x
e_ottoman_adj;Ottoman;Ottomane;Osmanien;;Otomana;;;;;;;;;x
e_caucasia;Caucasia;Caucase;Kaukasien;;Caucasia;;;;;;;;;x
e_caucasia_adj;Caucasian;Caucasien;Kaukasier;;Caucásico;;;;;;;;;x
k_crimea;Crimea;Crimée;Krim;;Crimea;;;;;;;;;x
k_crimean_adj;Crimean;Criméen;Krimbewohner;;Crimeana;;;;;;;;;x
b_salmeniko;Salmeniko;Salmeniko;Salmeniko;;Salmeniko;;;;;;;;;x
b_medinasiyasa;Cieza;Cieza;Cieza;:Cieza;;;;;;;;;x
b_tamisa;Mijas;Mijas;Mijas;;Mijas;;;;;;;;;x
d_moldau;Moldavia;Moldavie;Moldau;;Moldavia;;;;;;;;;x
d_moldau_adj;Moldavian;Moldave;Moldauische;;Moldavo;;;;;;;;;x
d_dubrovnik;Dubrovnik;Dubrovnik;Dubrovnik;;Dubrovnik;;;;;;;;;x
d_dubrovnik_adj;Ragusan;Ragusain;Ragusaner;;Ragusano;;;;;;;;;x
PROV750;Nicaea;Nicée;Nicäa;;Nicea;;;;;;;;;x
PROV703;Keltzene;Keltzene;Keltzene;;Keltzene;;;;;;;;;x
b_karin;Keltzene;Keltzene;Keltzene;;Keltzene;;;;;;;;;x
duchy_of_romanian;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
duke_tatar;Beylerbey;Beylerbey;Beylerbey;;Gobernador de gobernadores;;;;;;;;;x
duchy_of_tatar;Beylerbeylik of;Beylerbeylik de;Beylerbeylik von;;Beylicato de Beylicatos de;;;;;;;;;x
count_tatar;Bey;Bey;Bey;;Gobernador turco;;;;;;;;;x
county_of_tatar;Beylik of;Beylicat de;Beylik von;;Beylicato de;;;;;;;;;x
king_female_greek;Despoina;Despoina;Despoina;;Déspina;;;;;;;;;x
kingdom_of_greek;Despotate of;Despotat de;Despotat von;;Despotado de;;;;;;;;;x
duchy_of_andalusian_arabic;Taifa of;Taïfa de;Taifa von;;Taifa de;;;;;;;;;x
barony_of_greek;Kephalatikion of;Kephalatikion de;Kephalatikion von;;Kephalatikion de;;;;;;;;;x
baron_female_greek;Kephalissa;Kephalissa;Kephalissa;;Kephalissa;;;;;;;;;x
baron_greek;Kephale;Kephale;Kephale;;Kephale;;;;;;;;;x
count_greek;Archontes;Archontes;Archontes;;Arconte;;;;;;;;;x
count_female_greek;Archontissa;Archontissa;Archontissa;;Archontissa;;;;;;;;;x
county_of_greek;Archontia of;Archontia de;Archontia von;;Archontia de;;;;;;;;;x
duchy_of_greek;Thema of;Thema de;Thema von;;Thema de;;;;;;;;;x
duke_greek;Doux;Doux;Doux;;Duque;;;;;;;;;x
duke_female_greek;Doukissa;Doukissa;Doukissa;;Doukissa;;;;;;;;;x
duke_female_italian;Duchessa;Duchessa;Duchessa;;Duchessa;;;;;;;;;x
duke_italian;Duca;Duca;Duca;;Duca;;;;;;;;;x
count_female_italian;Contessa;Contessa;Contessa;;Contessa;;;;;;;;;x
count_italian;Conte;Conte;Conte;;Conte;;;;;;;;;x
temple_emperor_christian;Emperor-Bishop;Empereur très Chrétien;Kaiser-Bischof;;Emperador-obispo;;;;;;;;;x
duke_saxon;Earl;Earl;Graf;;Conde;;;;;;;;;x
count_saxon;Ealdorman;Ealdorman;Ealdorman;;Ealdorman;;;;;;;;;x
baron_saxon;Thegn;Thegn;Thegn;;Thegn;;;;;;;;;x
#nick_the_aetheling;the Ætheling;le Ætheling;die Aetheling;;el Ætheling;;;;;;;;;x
nick_the_angel;the Angel;l'Ange;der Engel;;el Ángel;;;;;;;;;x
nick_the_weak;the Weak;le Faible;die Schwache;;los Débiles;;;;;;;;;x
nick_the_impaler;the Impaler;l'Empaleur;der Pfähler;;el Empalador;;;;;;;;;x
