ct__ab_mod_alacir_eminence_1;A city holding is building a alacir_eminence_1 here and it will take at most 1 days to complete.;Une ville holding est construire un alacir_eminence_1 ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein alacir_eminence_1 auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un alacir_eminence_1 aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_3;A city holding is building a Anda Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_4;A city holding is building a Anda Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_5;A city holding is building a Anda Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_6;A city holding is building a Anda Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_anda_eminence_7;A city holding is building a Anda Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Anda Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Anda Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Anda Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_emiinence_8;A city holding is building a Ashirra Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_1;A city holding is building a Ashirra Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_2;A city holding is building a Ashirra Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_3;A city holding is building a Ashirra Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_4;A city holding is building a Ashirra Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_5;A city holding is building a Ashirra Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_6;A city holding is building a Ashirra Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_ashirra_eminence_7;A city holding is building a Ashirra Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Ashirra Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Ashirra Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Ashirra Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_emiinence_8;A city holding is building a Assamite Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_1;A city holding is building a Assamite Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_2;A city holding is building a Assamite Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_3;A city holding is building a Assamite Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_4;A city holding is building a Assamite Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_5;A city holding is building a Assamite Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_6;A city holding is building a Assamite Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_assamite_eminence_7;A city holding is building a Assamite Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Assamite Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Assamite Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Assamite Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_emiinence_8;A city holding is building a Baali Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_1;A city holding is building a Baali Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_2;A city holding is building a Baali Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_3;A city holding is building a Baali Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_4;A city holding is building a Baali Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_5;A city holding is building a Baali Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_6;A city holding is building a Baali Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_baali_eminence_7;A city holding is building a Baali Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Baali Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Baali Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Baali Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_emiinence_8;A city holding is building a Brujah Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_1;A city holding is building a Brujah Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_2;A city holding is building a Brujah Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_3;A city holding is building a Brujah Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_4;A city holding is building a Brujah Established Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Established Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Established Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Established Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_5;A city holding is building a Brujah Noteworthy Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Noteworthy Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Noteworthy Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Noteworthy Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_6;A city holding is building a Brujah Prominent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Prominent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Prominent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Prominent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_brujah_eminence_7;A city holding is building a Brujah Eminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Brujah Eminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Brujah Eminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Brujah Eminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_emiinence_8;A city holding is building a Cainite Preeminent Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Preeminent Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Preeminent Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Preeminent Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_1;A city holding is building a Cainite Recognized Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_2;A city holding is building a Cainite Significant Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Significant Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Significant Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Significant Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ct__ab_mod_ct_clan_cainite_eminence_3;A city holding is building a Cainite Sanctioned Court here and it will take at most 1 days to complete.;Une ville holding est construire un Cainite Sanctioned Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Stadt-Halt baut hier ein Cainite Sanctioned Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un ciudad holding est construyendo un Cainite Sanctioned Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
