ca__ab_mod_ca_bandits_1;A castle holding is building a Bribed Bandit here and it will take at most 7 days to complete.;Une Chteau holding est construire un Bribed Bandit ici et il faudra au maximum 7 jours pour tre termin.;Ein Schloss-Halt baut hier ein Bribed Bandit auf und es dauert hchstens 7 Tage bis zum Ende.;;Un castillo holding est construyendo un Bribed Bandit aqu y tomar como mximo 7 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ashirra_nightmarestable_1;A castle holding is building a Ashirra Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ashirra Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ashirra Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ashirra Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_ashirra_nightmarestable_2;A castle holding is building a Ashirra Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Ashirra Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Ashirra Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Ashirra Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_assamite_eminence_1;A castle holding is building a Assamite Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Assamite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Assamite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Assamite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_assamite_nightmarestable_1;A castle holding is building a Assamite Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Assamite Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Assamite Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Assamite Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_assamite_nightmarestable_2;A castle holding is building a Assamite Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Assamite Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Assamite Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Assamite Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_baali_eminence_1;A castle holding is building a Baali Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Baali Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Baali Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Baali Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_baali_nightmarestable_1;A castle holding is building a Baali Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Baali Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Baali Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Baali Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_baali_nightmarestable_2;A castle holding is building a Baali Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Baali Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Baali Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Baali Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_brujah_eminence_1;A castle holding is building a Brujah Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Brujah Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Brujah Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Brujah Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_brujah_nightmarestable_1;A castle holding is building a Brujah Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Brujah Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Brujah Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Brujah Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_brujah_nightmarestable_2;A castle holding is building a Brujah Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Brujah Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Brujah Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Brujah Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cainite_eminence_1;A castle holding is building a Cainite Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cainite Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cainite Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cainite Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cainite_nightmarestable_1;A castle holding is building a Cainite Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cainite Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cainite Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cainite Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cainite_nightmarestable_2;A castle holding is building a Cainite Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cainite Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cainite Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cainite Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_caitiff_eminence_1;A castle holding is building a Caitiff Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Caitiff Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Caitiff Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Caitiff Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_caitiff_nightmarestable_1;A castle holding is building a Caitiff Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Caitiff Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Caitiff Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Caitiff Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_caitiff_nightmarestable_2;A castle holding is building a Caitiff Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Caitiff Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Caitiff Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Caitiff Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cappadocian_eminence_1;A castle holding is building a Cappadocian Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cappadocian Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cappadocian Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cappadocian Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cappadocian_nightmarestable_1;A castle holding is building a Cappadocian Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cappadocian Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cappadocian Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cappadocian Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_cappadocian_nightmarestable_2;A castle holding is building a Cappadocian Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Cappadocian Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Cappadocian Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Cappadocian Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_einherjar_eminence_1;A castle holding is building a Einherjar Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Einherjar Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Einherjar Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Einherjar Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_einherjar_nightmarestable_1;A castle holding is building a Einherjar Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Einherjar Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Einherjar Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Einherjar Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_einherjar_nightmarestable_2;A castle holding is building a Einherjar Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Einherjar Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Einherjar Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Einherjar Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_followerofset_eminence_1;A castle holding is building a Followerofset Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Followerofset Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Followerofset Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Followerofset Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_followerofset_nightmarestable_1;A castle holding is building a Setite Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Setite Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Setite Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Setite Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_followerofset_nightmarestable_2;A castle holding is building a Setite Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Setite Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Setite Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Setite Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gangrel_eminence_1;A castle holding is building a Gangrel Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gangrel Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gangrel Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gangrel Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gangrel_nightmarestable_1;A castle holding is building a Gangrel Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gangrel Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gangrel Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gangrel Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gangrel_nightmarestable_2;A castle holding is building a Gangrel Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gangrel Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gangrel Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gangrel Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gargoyle_eminence_1;A castle holding is building a Gargoyle Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gargoyle Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gargoyle Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gargoyle Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gargoyle_nightmarestable_1;A castle holding is building a Gargoyle Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gargoyle Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gargoyle Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gargoyle Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_gargoyle_nightmarestable_2;A castle holding is building a Gargoyle Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Gargoyle Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Gargoyle Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Gargoyle Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_giovanni_eminence_1;A castle holding is building a Giovanni Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Giovanni Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Giovanni Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Giovanni Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_giovanni_nightmarestable_1;A castle holding is building a Giovanni Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Giovanni Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Giovanni Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Giovanni Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_giovanni_nightmarestable_2;A castle holding is building a Giovanni Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Giovanni Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Giovanni Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Giovanni Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_lasombra_eminence_1;A castle holding is building a Lasombra Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Lasombra Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Lasombra Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Lasombra Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_lasombra_nightmarestable_1;A castle holding is building a Lasombra Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Lasombra Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Lasombra Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Lasombra Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_lasombra_nightmarestable_2;A castle holding is building a Lasombra Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Lasombra Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Lasombra Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Lasombra Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_malkavian_eminence_1;A castle holding is building a Malkavian Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Malkavian Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Malkavian Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Malkavian Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_malkavian_nightmarestable_1;A castle holding is building a Malkavian Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Malkavian Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Malkavian Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Malkavian Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_malkavian_nightmarestable_2;A castle holding is building a Malkavian Diomedean Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Malkavian Diomedean Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Malkavian Diomedean Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Malkavian Diomedean Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_nosferatu_eminence_1;A castle holding is building a Nosferatu Recognized Court here and it will take at most 1 days to complete.;Une Chteau holding est construire un Nosferatu Recognized Court ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Nosferatu Recognized Court auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Nosferatu Recognized Court aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
ca__ab_mod_ca_clan_nosferatu_nightmarestable_1;A castle holding is building a Nosferatu Nightmare Stable here and it will take at most 1 days to complete.;Une Chteau holding est construire un Nosferatu Nightmare Stable ici et il faudra au maximum 1 jours pour tre termin.;Ein Schloss-Halt baut hier ein Nosferatu Nightmare Stable auf und es dauert hchstens 1 Tage bis zum Ende.;;Un castillo holding est construyendo un Nosferatu Nightmare Stable aqu y tomar como mximo 1 das para completarse.;;;;;;;;;x
