close_autobuild_menu;Close Automatic Building Menu;Fermer Menu de construction automatique;Schlieen Sie das automatische Gebude-Men;;Cerrar men de construccin automtica;;;;;;;;;x
disable_ab_gold_reserve_1000_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_100_flag;Remove 100 gold reservation.;Supprimez 100 la rserve d'or.;Entfernen 100 gold reservation.;;Quitar 100 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_100_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_2500_flag;Remove 2500 gold reservation.;Supprimez 2500 la rserve d'or.;Entfernen 2500 gold reservation.;;Quitar 2500 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_2500_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_250_flag;Remove 250 gold reservation.;Supprimez 250 la rserve d'or.;Entfernen 250 gold reservation.;;Quitar 250 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_250_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_5000_flag;Remove 5000 gold reservation.;Supprimez 5000 la rserve d'or.;Entfernen 5000 gold reservation.;;Quitar 5000 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_5000_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_gold_reserve_500_flag;Remove 500 gold reservation.;Supprimez 500 la rserve d'or.;Entfernen 500 gold reservation.;;Quitar 500 reserva de oro.;;;;;;;;;x
disable_ab_gold_reserve_500_flag_desc;Removes the restriction on building belowgoldprestige. Mutually exclusive with other gold settings.;Supprime la restriction sur la construction sous le prestige. Mutuellement exclusif avec d'autres paramtres d'or.;Entfernt die Beschrnkung fr den Bau untergoldprestige. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Elimina la restriccin en la construccin de debajo del prestigio. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
disable_ab_prestige_reserve_10000_flag;Remove 10000 prestige reservation.;Supprimer 10000 rservation de prestige.;Entfernen 10000 prestige reservation.;;Quitar 10000 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_10000_flag_desc;Removes the restriction on building below 10000 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 10000 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_1000_flag;Remove 1000 prestige reservation.;Supprimer 1000 rservation de prestige.;Entfernen 1000 prestige reservation.;;Quitar 1000 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_1000_flag_desc;Removes the restriction on building below 1000 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 1000 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_100_flag;Remove 100 prestige reservation.;Supprimer 100 rservation de prestige.;Entfernen 100 prestige reservation.;;Quitar 100 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_100_flag_desc;Removes the restriction on building below 100 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 100 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_2500_flag;Remove 2500 prestige reservation.;Supprimer 2500 rservation de prestige.;Entfernen 2500 prestige reservation.;;Quitar 2500 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_2500_flag_desc;Removes the restriction on building below 2500 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 2500 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_250_flag;Remove 250 prestige reservation.;Supprimer 250 rservation de prestige.;Entfernen 250 prestige reservation.;;Quitar 250 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_250_flag_desc;Removes the restriction on building below 250 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 250 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_5000_flag;Remove 5000 prestige reservation.;Supprimer 5000 rservation de prestige.;Entfernen 5000 prestige reservation.;;Quitar 5000 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_5000_flag_desc;Removes the restriction on building below 5000 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 5000 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_500_flag;Remove 500 prestige reservation.;Supprimer 500 rservation de prestige.;Entfernen 500 prestige reservation.;;Quitar 500 reserva de prestigio.;;;;;;;;;x
disable_ab_prestige_reserve_500_flag_desc;Removes the restriction on building below 500 prestige. Mutually exclusive with other prestige settings.;Supprime la restriction de construction sous le prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Entfernt die Beschrnkung des Gebudes unter 500 Prestige. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Elimina la restriccin de construir bajo el prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
disable_autobuilding;Disable Automatic Building;Dsactiver l'tablissement automatique;Deaktivieren Sie Automatisches Gebude;;Inhabilitar construccin automtica;;;;;;;;;x
disable_autobuilding_desc;Disable Automatic Building;Dsactiver l'tablissement automatique;Deaktivieren Sie Automatisches Gebude;;Inhabilitar construccin automtica;;;;;;;;;x
enable_ab_enable_all_vassal_flag;Enable All vassals;Activer tous les vassaux;Alle Vasallen aktivieren;;Habilitar todos los vasallos;;;;;;;;;x
enable_ab_enable_all_vassal_flag_desc;Enables building in all vassal (and vassal of vassal) holdings.;Permet de construire dans tous les exploits vassaux (et vassaux de vassaux).;Ermglicht den Bau in allen Vasallen (und Vasallen von Vasallen) Bestnde.;;Permite la construccin de todos los fondos vasallos (y vasallos de vasallos).;;;;;;;;;x
enable_ab_enable_county_baron_flag;Enable county barons;Activer les barons du comt;Aktivieren Sie Grafschaftsbarone;;Habilitar a los barones del condado;;;;;;;;;x
enable_ab_enable_county_baron_flag_desc;Enables building in holdings of baron vassals residing in your directly held counties.;Permet de construire dans les exploitations de vassaux barons rsidant dans vos comts directement dtenus.;Ermglicht den Bau von Betrieben von Baron-Vasallen mit Wohnsitz in Ihren direkten Landkreisen.;;Permite el edificio en las tenencias de los vasallos del barn que residen en sus condados dominados directamente.;;;;;;;;;x
enable_ab_enable_vassal_baron_flag;Enable vassal barons.;Activer les barons vassaux.;Vasallenbarone aktivieren.;;Habilitar a los barones vasallos.;;;;;;;;;x
enable_ab_enable_vassal_baron_flag_desc;Enable building in all baronies held by direct vassals.;Permettre la construction dans toutes les baronnies dtenues par les vassaux directs.;Ermglichen Bau in allen Baronien von Direkt-Vasallen gehalten.;;Permitir la construccin en todas las baronas en poder de los vasallos directos.;;;;;;;;;x
enable_ab_gold_reserve_10000_flag;Reserve 10000 gold.;Rserve 10000 or.;Reservieren 10000 gold.;;Reserve 10000 oro.;;;;;;;;;x
enable_ab_gold_reserve_10000_flag_desc;Prevents building if you have less than 10000 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 10000 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 10000 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 10000 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_1000_flag;Reserve 1000 gold.;Rserve 1000 or.;Reservieren 1000 gold.;;Reserve 1000 oro.;;;;;;;;;x
enable_ab_gold_reserve_1000_flag_desc;Prevents building if you have less than 1000 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 1000 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 1000 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 1000 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_100_flag;Reserve 100 gold.;Rserve 100 or.;Reservieren 100 gold.;;Reserve 100 oro.;;;;;;;;;x
enable_ab_gold_reserve_100_flag_desc;Prevents building if you have less than 100 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 100 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 100 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 100 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_2500_flag;Reserve 2500 gold.;Rserve 2500 or.;Reservieren 2500 gold.;;Reserve 2500 oro.;;;;;;;;;x
enable_ab_gold_reserve_2500_flag_desc;Prevents building if you have less than 2500 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 2500 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 2500 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 2500 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_250_flag;Reserve 250 gold.;Rserve 250 or.;Reservieren 250 gold.;;Reserve 250 oro.;;;;;;;;;x
enable_ab_gold_reserve_250_flag_desc;Prevents building if you have less than 250 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 250 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 250 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 250 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_5000_flag;Reserve 5000 gold.;Rserve 5000 or.;Reservieren 5000 gold.;;Reserve 5000 oro.;;;;;;;;;x
enable_ab_gold_reserve_5000_flag_desc;Prevents building if you have less than 5000 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 5000 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 5000 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 5000 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_gold_reserve_500_flag;Reserve 500 gold.;Rserve 500 or.;Reservieren 500 gold.;;Reserve 500 oro.;;;;;;;;;x
enable_ab_gold_reserve_500_flag_desc;Prevents building if you have less than 500 gold.  Mutually exclusive with other gold settings.;Empche la construction si vous avez moins de 500 or. Mutuellement exclusif avec d'autres paramtres d'or.;Verhindert Gebude, wenn Sie weniger als 500 Gold haben. Gegenseitig exklusiv mit anderen Gold-Einstellungen.;;Evita la construccin si tienes menos de 500 oro. Mutualmente exclusiva con otros ajustes de oro.;;;;;;;;;x
enable_ab_prestige_reserve_10000_flag;Reserve 10000 prestige.;Rserve 10000 prestige.;Reservieren 10000 prestige.;;Reserva 10000 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_10000_flag_desc;Prevents building if you have less than 10000 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 10000 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 10000 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 10000 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_1000_flag;Reserve 1000 prestige.;Rserve 1000 prestige.;Reservieren 1000 prestige.;;Reserva 1000 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_1000_flag_desc;Prevents building if you have less than 1000 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 1000 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 1000 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 1000 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_100_flag;Reserve 100 prestige.;Rserve 100 prestige.;Reservieren 100 prestige.;;Reserva 100 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_100_flag_desc;Prevents building if you have less than 100 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 100 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 100 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 100 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_2500_flag;Reserve 2500 prestige.;Rserve 2500 prestige.;Reservieren 2500 prestige.;;Reserva 2500 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_2500_flag_desc;Prevents building if you have less than 2500 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 2500 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 2500 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 2500 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_250_flag;Reserve 250 prestige.;Rserve 250 prestige.;Reservieren 250 prestige.;;Reserva 250 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_250_flag_desc;Prevents building if you have less than 250 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 250 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 250 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 250 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_5000_flag;Reserve 5000 prestige.;Rserve 5000 prestige.;Reservieren 5000 prestige.;;Reserva 5000 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_5000_flag_desc;Prevents building if you have less than 5000 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 5000 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 5000 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 5000 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_500_flag;Reserve 500 prestige.;Rserve 500 prestige.;Reservieren 500 prestige.;;Reserva 500 prestigio.;;;;;;;;;x
enable_ab_prestige_reserve_500_flag_desc;Prevents building if you have less than 500 prestige.  Mutually exclusive with other prestige settings.;Empche la construction si vous avez moins que 500 prestige. Mutuellement exclusif avec d'autres rglages de prestige.;Verhindert Gebude, wenn Sie weniger als 500 Prestige haben. Gegenseitig exklusiv mit anderen Prestige-Einstellungen.;;Evita la construccin si tienes menos de 500 prestigio. Mutualmente exclusiva con otros ajustes de prestigio.;;;;;;;;;x
enable_autobuilding;Enable Automatic Building;Activer la construction automatique;Automatisches Gebude aktivieren;;Habilitar construccin automtica;;;;;;;;;x
enable_autobuilding_desc;Enable Automatic Building;Activer la construction automatique;Automatisches Gebude aktivieren;;Habilitar construccin automtica;;;;;;;;;x
open_autobuild_menu;Open Automatic Building Menu;Ouvrir le menu de construction automatique;ffnen Sie das automatische Gebude-Men;;Abrir men de construccin automtica;;;;;;;;;x
open_autobuild_menu_desc;Open Automatic Building Menu;Ouvrir le menu de construction automatique;ffnen Sie das automatische Gebude-Men;;Abrir men de construccin automtica;;;;;;;;;x
