#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_72;1230 is the most complete startdate.;;;;;;;;;;;;;
LOADING_TIP_73;Vampires have the most gameplay and flavor.;;;;;;;;;;;;;
LOADING_TIP_74;Iberia 1230 is a good place for a new player to the mod.;;;;;;;;;;;;;
LOADING_TIP_75;If you create a custom character, make sure he has the required traits. Look at a canon character to be sure.;;;;;;;;;;;;;
LOADING_TIP_76;As a vampire, your armies will start small, you must build your influence over the populace.;;;;;;;;;;;;;
LOADING_TIP_77;Cain can't be diablerized. Sorry.;;;;;;;;;;;;;
LOADING_TIP_78;Elders vampires are old for a reason. They won't fall to an ill prepared plot.;;;;;;;;;;;;;
LOADING_TIP_79;Technology has been overhauled into influence and is a crucial part of your growth.;;;;;;;;;;;;;
LOADING_TIP_80;Buildings as a vampire represent your influence over the populace, without them, you are all alone.;;;;;;;;;;;;;
LOADING_TIP_81;The first month of gameplay will be slow and see much death. That's intended.;;;;;;;;;;;;;
LOADING_TIP_82;To create a childe, right click on a mortal.;;;;;;;;;;;;;
LOADING_TIP_83;Mind the Masquerade. You wouldn't want to make the Chuch angry.;;;;;;;;;;;;;
LOADING_TIP_84;You can create ghouls easily, but it will cost you precious blood.;;;;;;;;;;;;;
LOADING_TIP_85;Mind your blood thirst. Feed and hunt mortals to replenish it.;;;;;;;;;;;;;
LOADING_TIP_86;You can bloodbound your prisoners to insure loyalty. Bloodbounds are unbreakable, right?;;;;;;;;;;;;;
LOADING_TIP_87;The more you age, the more you will be powerful. And the more everyone will hate you for it.;;;;;;;;;;;;;
LOADING_TIP_88;This is the World of Darkness. You have no friends, only pawns.;;;;;;;;;;;;;
